
 Trier:0 "Trier"
 Saarbrücken:0 "Saarbrücken"
 Bonn:0 "Bonn"
 Köln:0 "Köln"
 Essen:0 "Essen"
 Münster:0 "Münster"
 Dortmund:0 "Dortmund"
 Bielefeld:0 "Bielefeld"
 Hannover:0 "Hannover"
 Hamelin:0 "Hamelin"
 Bremen:0 "Bremen"
 Bremen-Haven:0 "Bremen-Haven"
 Osnabruck:0 "Osnabruck"
 Flensburg:0 "Flensburg"
 Kiel:0 "Kiel"
 Lübeck:0 "Lübeck"
 Wismar:0 "Wismar"
 Schwerin:0 "Schwerin"
 Rostock:0 "Rostock"
 Güstrow:0 "Güstrow"
 Greifwald:0 "Greifwald"
 Stettin:0 "Stettin"
 Stargard:0 "Stargard"
 Kalberg:0 "Kalberg"
 Oldenburg North:0 "Oldenburg North"
 Oldenburg Main:0 "Oldenburg Main"
 Kassel:0 "Kassel"
 Gließen:0 "Gießen"
 Frankfurt:0 "Frankfurt"
 Mainz:0 "Mainz"
 Baden:0 "Karlsruhe"
 Offenburg:0 "Offenburg"
 Freiburg:0 "Freiburg"
 Stuttgart:0 "Stuttgart"
 Tubingen:0 "Tubingen"
 Ulm:0 "Ulm"
 Würzberg:0 "Würzberg"
 Beyreuth:0 "Beyreuth"
 Nürnberg:0 "Nürnberg"
 Regensburg:0 "Regensburg"
 Augsburg:0 "Augsburg"
 Münich:0 "Münich"
 Erfurt:0 "Erfurt"
 Jena:0 "Jena"
 Gera:0 "Gera"
 Gardelegen:0 "Gardelegen"
 Magdeburg:0 "Magdeburg"
 Dessau:0 "Dessau"
 Halle:0 "Halle"
 Leipzig:0 "Leipzig"
 Dresden:0 "Dresden"
 Chemniz:0 "Chemniz"
 Plauen:0 "Plauen"
 Potsdam:0 "Potsdam"
 Bradenburg:0 "Bradenburg"
 Prenziau:0 "Soldin"
 Cottbus:0 "Cottbus"
 West Berlin:0 "West Berlin"
 East Berlin:0 "East Berlin"
 Schlesien:0 "Schlesien"
 Dreslau:0 "Breslau"
 Beuchen:0 "Beuchen"
 Tilsit:0 "Tilsit"
 Königsberg:0 "Königsberg"
 Insterberg:0 "Insterberg"
 Elbing:0 "Elbing"
 Marienwerder:0 "Marienwerder"
 Barterstein:0 "Barterstein"
 Hamburg:0 "Hamburg"
